name,level1CategoryName,packageName
波段神器,金融理财,https://app.mi.com/details?id=com.main.hz.yftd
度小满理财,金融理财,https://app.mi.com/details?id=com.baidu.finance
领涨财讯,金融理财,https://app.mi.com/details?id=com.eafutures.shlingzhang
鄞州银行,金融理财,https://app.mi.com/details?id=com.csii.yzbank
信银理财,金融理财,https://app.mi.com/details?id=com.citicwealth.fintech
摇钱术至尊版,金融理财,https://app.mi.com/details?id=com.topcj.supermoneytree
钱多美,金融理财,https://app.mi.com/details?id=com.juzi.jmx
缤纷生活,金融理财,https://app.mi.com/details?id=com.forms
萝卜投研-股票研报行情数据,金融理财,https://app.mi.com/details?id=com.datayes.irr
泰安银行,金融理财,https://app.mi.com/details?id=com.iss.taianbank
日照银行,金融理财,https://app.mi.com/details?id=com.iss.rizhaobank
长安bank,金融理财,https://app.mi.com/details?id=com.iss.changanbank
鄂尔多斯银行,金融理财,https://app.mi.com/details?id=com.sccba.ordosbank
E动生命,金融理财,https://app.mi.com/details?id=com.sinolife.app
齐商银行,金融理财,https://app.mi.com/details?id=com.iss.qishangbank
省呗-小额低息借贷,金融理财,https://app.mi.com/details?id=com.samoyed.credit
搭伙保险,金融理财,https://app.mi.com/details?id=com.djcx.dahuo
陆基金,金融理财,https://app.mi.com/details?id=com.lufax.lufunds
通达信-炒股票指标选股开户,金融理财,https://app.mi.com/details?id=com.tdx.AndroidNew
东营银行,金融理财,https://app.mi.com/details?id=com.iss.dongyingbank
番茄聊天,聊天社交,https://app.mi.com/details?id=com.fqjbpqtz.fqjb
艺百,聊天社交,https://app.mi.com/details?id=com.sctjj.dance
对爱相亲,聊天社交,https://app.mi.com/details?id=com.fanjin.live
盲盒漂流瓶,聊天社交,https://app.mi.com/details?id=com.yangjiu.plp.app
谁是凶手,聊天社交,https://app.mi.com/details?id=com.who.android
密爱,聊天社交,https://app.mi.com/details?id=com.miai.data
千千电话,聊天社交,https://app.mi.com/details?id=com.lz.mycall
老来,聊天社交,https://app.mi.com/details?id=com.laolaiwangtech
恋爱语音,聊天社交,https://app.mi.com/details?id=com.dale.bobo
聊圈,聊天社交,https://app.mi.com/details?id=talkcircle.chat
kizzik,聊天社交,https://app.mi.com/details?id=com.harter.project.alqi
黄瓜视频交友,聊天社交,https://app.mi.com/details?id=com.xy.huanggua
假面app,聊天社交,https://app.mi.com/details?id=com.yibankeji.mask
星光聊天,聊天社交,https://app.mi.com/details?id=com.zx.starlightchat
花灯聊天交友,聊天社交,https://app.mi.com/details?id=com.xiaosuiyue.huadeng
宠宠窝,聊天社交,https://app.mi.com/details?id=com.yrz.ccw
人生手册-交流人生&middot;遇见知己,聊天社交,https://app.mi.com/details?id=com.butongapp.butong
枪战圈,聊天社交,https://app.mi.com/details?id=com.qiangzhanquan.app
趣咪约玩,聊天社交,https://app.mi.com/details?id=com.sonar.qumi
论否,聊天社交,https://app.mi.com/details?id=tech.nani.www.nani
嗨呀-语音交友,聊天社交,https://app.mi.com/details?id=com.qumitech.hiya
Hilamg,聊天社交,https://app.mi.com/details?id=com.purechat.hilamg
咔咔语音,聊天社交,https://app.mi.com/details?id=com.xunyinhd.kakayy
族聊,聊天社交,https://app.mi.com/details?id=com.kuaiyanky.homechat
细胞,聊天社交,https://app.mi.com/details?id=com.cytw.cell
Walsea,聊天社交,https://app.mi.com/details?id=com.huyan.walsea
探探,聊天社交,https://app.mi.com/details?id=com.p1.mobile.putong
聊喻&mdash;&mdash;一对一语音连麦情感咨询,聊天社交,https://app.mi.com/details?id=com.health.liaoyu
恰好聊天交友,聊天社交,https://app.mi.com/details?id=com.taqu.bnqz
举荐官,聊天社交,https://app.mi.com/details?id=com.largelistdemo
橙,聊天社交,https://app.mi.com/details?id=io.iftech.match
行业协会,聊天社交,https://app.mi.com/details?id=com.gong_wei.association
友帮,聊天社交,https://app.mi.com/details?id=com.exmart.friendbang
崽崽ZEPETO,聊天社交,https://app.mi.com/details?id=cn.zepeto.main
嗨呀星球-聊天交友,聊天社交,https://app.mi.com/details?id=com.qumitech.hiyastar
FateU,聊天社交,https://app.mi.com/details?id=cn.com.fateu.fateu
闪约,聊天社交,https://app.mi.com/details?id=cn.mimilive.xianyu
嘿米,聊天社交,https://app.mi.com/details?id=com.wanhe.heimi
一点,聊天社交,https://app.mi.com/details?id=com.bittimes.yidian
南瓜视频,聊天社交,https://app.mi.com/details?id=com.hfhuanku.ypqa
声撩,聊天社交,https://app.mi.com/details?id=com.chuan.ssliao
人人直播,聊天社交,https://app.mi.com/details?id=com.renren.mobile.android
一起剧本杀,聊天社交,https://app.mi.com/details?id=com.youkagames.murdermystery
Aha,聊天社交,https://app.mi.com/details?id=com.hithway.aha
K星球,聊天社交,https://app.mi.com/details?id=com.dianyingker.movie
走么Go,聊天社交,https://app.mi.com/details?id=com.jimai.gobbs
秒聊,聊天社交,https://app.mi.com/details?id=com.rs.club
组CP-语音交友,聊天社交,https://app.mi.com/details?id=me.ddkj.cp
Togoo,聊天社交,https://app.mi.com/details?id=com.zerophil.togoo
号号,聊天社交,https://app.mi.com/details?id=cn.hhq.chat
邑生活,聊天社交,https://app.mi.com/details?id=com.wishare.smartcommunityforyishenghuo
优皮派对-感知温度和有趣的灵魂,聊天社交,https://app.mi.com/details?id=com.live.uparty
派对岛,聊天社交,https://app.mi.com/details?id=com.bytedance.android.pi
鲸鱼配音,聊天社交,https://app.mi.com/details?id=com.dub.piaxi
PicoPico-在线恋爱主题乐园,聊天社交,https://app.mi.com/details?id=com.xintiaotime.yoy
云信,聊天社交,https://app.mi.com/details?id=com.yx.talk
织语交友,聊天社交,https://app.mi.com/details?id=com.flakesnet.zhiyu
颜聊,聊天社交,https://app.mi.com/details?id=com.VideoCall.GuangShu
同城约会,聊天社交,https://app.mi.com/details?id=com.netease.citydate
声洞,聊天社交,https://app.mi.com/details?id=com.yinpai
热遇,聊天社交,https://app.mi.com/details?id=city.netplanet.reyu
水产通,聊天社交,https://app.mi.com/details?id=com.shuichantong
中华志愿者,聊天社交,https://app.mi.com/details?id=com.lebo.cnvolunteer
多多开黑,聊天社交,https://app.mi.com/details?id=com.ruiliheng.duoduo
漂流瓶极速版,聊天社交,https://app.mi.com/details?id=com.hysteria.bottle
拍拍语音,聊天社交,https://app.mi.com/details?id=com.aoyou.victory_android
嗨皮星球-连麦语音聊天室交友,聊天社交,https://app.mi.com/details?id=ltd.zucp.happy
西西语音,聊天社交,https://app.mi.com/details?id=com.ppyuewan.peiwan
他趣-自由派对在线约会,聊天社交,https://app.mi.com/details?id=com.xingjiabi.shengsheng
芷恋语音,聊天社交,https://app.mi.com/details?id=com.xsvideoLive.www
媚聊交友,聊天社交,https://app.mi.com/details?id=com.yanzhiyu.dahai
织音-语音唱歌相亲交友app,聊天社交,https://app.mi.com/details?id=com.cd.eate.ktv
个性情侣头像,聊天社交,https://app.mi.com/details?id=com.zjyl.head
烟雨佳人-同城轻奢交友圈,聊天社交,https://app.mi.com/details?id=com.juwei.chat
目鹿,聊天社交,https://app.mi.com/details?id=com.mulook.mloyful_app
哩咔语音,聊天社交,https://app.mi.com/details?id=com.ourydc.yuebaobao
中乐之声&mdash;HIFI音响社区,聊天社交,https://app.mi.com/details?id=com.chinaauidonativeapp
碧喜,聊天社交,https://app.mi.com/details?id=com.kainei.bixi
鱼耳语音-声控推理交友app,聊天社交,https://app.mi.com/details?id=com.yupaopao.yuer
花遥,聊天社交,https://app.mi.com/details?id=com.ysp.cn
Uini,聊天社交,https://app.mi.com/details?id=com.zhuomuniao.uini
甜筒连麦声音交友,聊天社交,https://app.mi.com/details?id=com.yuyin.live.voice
圈遇,聊天社交,https://app.mi.com/details?id=com.quanyu.player
扬中本地头条,聊天社交,https://app.mi.com/details?id=com.yzbditt.forum
伊对交友,聊天社交,https://app.mi.com/details?id=cn.iyidui
不鸽语音-年轻人的语音陪伴社区,聊天社交,https://app.mi.com/details?id=com.chinaesport.bugegaming
团团电竞,聊天社交,https://app.mi.com/details?id=com.phn.tuantuan
有信,聊天社交,https://app.mi.com/details?id=com.yx
耳悦语音,聊天社交,https://app.mi.com/details?id=com.wuyeyu.kp
路太漫长,聊天社交,https://app.mi.com/details?id=socontact.com
锦江在线,旅行交通,https://app.mi.com/details?id=com.jinjiangonline.shanghai.unify
慧停车+,旅行交通,https://app.mi.com/details?id=com.rpms.uaandroid
桃花源家族,旅行交通,https://app.mi.com/details?id=com.xx.thy
福田e家,旅行交通,https://app.mi.com/details?id=com.foton.almighty
智能公交,旅行交通,https://app.mi.com/details?id=com.edcsc.wbus
轮渡管家,旅行交通,https://app.mi.com/details?id=com.hngh.app
阿拉丁温泉,旅行交通,https://app.mi.com/details?id=com.isgala.spring
若途旅行,旅行交通,https://app.mi.com/details?id=com.qdruotu.app
宿州停车,旅行交通,https://app.mi.com/details?id=com.tingche.sztc
天际汽车,旅行交通,https://app.mi.com/details?id=com.enovatemotors.newretail
舒城通,旅行交通,https://app.mi.com/details?id=com.fhkj.shucheng
游侠客旅行,旅行交通,https://app.mi.com/details?id=com.youxiake
知行约位,旅行交通,https://app.mi.com/details?id=com.park.kx.client
大易司机,旅行交通,https://app.mi.com/details?id=cn.trxxkj.trwuliu.driver
小特,旅行交通,https://app.mi.com/details?id=com.xiaote
奥维测绘地图,旅行交通,https://app.mi.com/details?id=com.ventus.map
VRFLY,旅行交通,https://app.mi.com/details?id=com.yispace.tenfly
赤途冷链,旅行交通,https://app.mi.com/details?id=io.dcloud.chitu
小拉出行司机版,旅行交通,https://app.mi.com/details?id=com.xiaolachuxing.driver
小拉出行,旅行交通,https://app.mi.com/details?id=com.xiaolachuxing.user
小熊自驾,旅行交通,https://app.mi.com/details?id=cn.fjdskj.zj
在途商旅,旅行交通,https://app.mi.com/details?id=cn.ztrip
公交颍州通,旅行交通,https://app.mi.com/details?id=com.pandabus.android.fuyang
西海岸公交e行,旅行交通,https://app.mi.com/details?id=com.zhenqingtech.xihaian
怿途天下,旅行交通,https://app.mi.com/details?id=com.yitutianxia.app
Mercedes me,旅行交通,https://app.mi.com/details?id=com.daimler.ris.mercedesme.cn.android
长隆旅游,旅行交通,https://app.mi.com/details?id=com.eventmosh.changlong
卿卿,旅行交通,https://app.mi.com/details?id=com.hm.qinqin
礼帽出行,旅行交通,https://app.mi.com/details?id=com.limao.passenger
SERES赛力斯,旅行交通,https://app.mi.com/details?id=cn.seres
有象工友,旅行交通,https://app.mi.com/details?id=com.jintu.youxiangchuxing
全能指南针,旅行交通,https://app.mi.com/details?id=com.lyracss.supercompass
腾讯地图,旅行交通,https://app.mi.com/details?id=com.tencent.map
T3车主,旅行交通,https://app.mi.com/details?id=com.t3go.driver
小二占位,旅行交通,https://app.mi.com/details?id=com.hw.pcpp
便捷青岛,旅行交通,https://app.mi.com/details?id=com.bsit.coband
盛名时刻表,旅行交通,https://app.mi.com/details?id=smskb.com
丝路车检,旅行交通,https://app.mi.com/details?id=com.xinty.driver
趣兜风,旅行交通,https://app.mi.com/details?id=com.chemeng.roadbook
运输圈货主,旅行交通,https://app.mi.com/details?id=com.huayun.transport.consignor
光彩龙驹司机,旅行交通,https://app.mi.com/details?id=com.gcsz.lxdriver
丰云行,旅行交通,https://app.mi.com/details?id=com.yongyou
周末酒店,旅行交通,https://app.mi.com/details?id=com.zmjiudian.whotel
T3出行,旅行交通,https://app.mi.com/details?id=com.t3go.passenger
花椒车服,旅行交通,https://app.mi.com/details?id=cn.com.ttcbh
芜优出行,旅行交通,https://app.mi.com/details?id=com.yidingyun.WitParking
3D街景地图VR,旅行交通,https://app.mi.com/details?id=com.fview.dstreet
街景卫星全景地图,旅行交通,https://app.mi.com/details?id=com.qianniu.streetscape
E车E卡,旅行交通,https://app.mi.com/details?id=com.wanglan.card
飞凡汽车,旅行交通,https://app.mi.com/details?id=com.saicmotor.r
山水途,旅行交通,https://app.mi.com/details?id=com.syt.fjmx
林肯之道,旅行交通,https://app.mi.com/details?id=com.lincoln.lincolnwaycn
株洲通,旅行交通,https://app.mi.com/details?id=com.tiamaes.tmbus.zhuzhou
武汉TAXI司机端,旅行交通,https://app.mi.com/details?id=com.wuhan.taxidriver
存知己寄存,旅行交通,https://app.mi.com/details?id=com.cunzhijiapp
叮功司机,旅行交通,https://app.mi.com/details?id=com.ynnskj.dinggong
出行南宁,旅行交通,https://app.mi.com/details?id=com.nnsmartcity.travle
手机查车,旅行交通,https://app.mi.com/details?id=cn.monitor
捷途汽车,旅行交通,https://app.mi.com/details?id=com.jetour.traveller
乐图,旅行交通,https://app.mi.com/details?id=com.gpslook
DT加油,旅行交通,https://app.mi.com/details?id=com.mydt.dtgas
路路通,旅行交通,https://app.mi.com/details?id=com.lltskb.lltskb
墨鱼旅行,旅行交通,https://app.mi.com/details?id=com.moyu.moyu
天津地铁,旅行交通,https://app.mi.com/details?id=com.bwton.tjmetro
威马智行,旅行交通,https://app.mi.com/details?id=com.wm.motor
快看高清街景,旅行交通,https://app.mi.com/details?id=com.befun.lookworld
摩猩人,旅行交通,https://app.mi.com/details?id=himrx.com2020
专塑物流,旅行交通,https://app.mi.com/details?id=com.zswl.logistics
专塑物流司机,旅行交通,https://app.mi.com/details?id=com.zswl.driver
申程出行司机,旅行交通,https://app.mi.com/details?id=cn.shcab.driver
GPS手机导航,旅行交通,https://app.mi.com/details?id=cn.dlapp.navigation
上汽大众,旅行交通,https://app.mi.com/details?id=com.svw.sc.mos
途众好车,旅行交通,https://app.mi.com/details?id=peace.bird.shop
危化镖局-物流货运,旅行交通,https://app.mi.com/details?id=com.danger
差旅管家,旅行交通,https://app.mi.com/details?id=com.ceekee.steward
北斗牛导航地图,旅行交通,https://app.mi.com/details?id=com.neptune.tmap
高清卫星街景地图,旅行交通,https://app.mi.com/details?id=com.fnmei.gqwxjj
程多多,旅行交通,https://app.mi.com/details?id=plus.H5569E9073
航旅飞客,旅行交通,https://app.mi.com/details?id=com.gohnstudio.tmc
e高速,旅行交通,https://app.mi.com/details?id=com.sdhs.easy.high.road
中国地图,旅行交通,https://app.mi.com/details?id=com.zx.map
优信二手车,旅行交通,https://app.mi.com/details?id=com.uxin.usedcar
柒个贰生活,旅行交通,https://app.mi.com/details?id=com.compangy.btlhsk
徐州市停车,旅行交通,https://app.mi.com/details?id=com.xzzhtc.park
优你达货运,旅行交通,https://app.mi.com/details?id=com.tms.yunshuquan
花小猪打车,旅行交通,https://app.mi.com/details?id=com.huaxiaozhu.rider
豫上高速,旅行交通,https://app.mi.com/details?id=com.emaker.apps.hngs
SCO,旅行交通,https://app.mi.com/details?id=com.zsyc.h5app.sco
全球高清街景软件,旅行交通,https://app.mi.com/details?id=com.qqgqjj.wxdtf
我找车司机,旅行交通,https://app.mi.com/details?id=com.saimawzc.freight
匠小佐,居家生活,https://app.mi.com/details?id=cn.jxz.app
小金豆,居家生活,https://app.mi.com/details?id=com.jdd966.xiaojindou
瑞幸咖啡,居家生活,https://app.mi.com/details?id=com.lucky.luckyclient
莉家生活,居家生活,https://app.mi.com/details?id=com.lijiazhengli.declutterclient
法拍圈-司法拍卖房产服务平台,居家生活,https://app.mi.com/details?id=com.yaocheng.foreclosureCircle.app
三维家设计师-室内家居设计软件,居家生活,https://app.mi.com/details?id=com.vjia.designer
裹小递配送员,居家生活,https://app.mi.com/details?id=cn.ccmore.move.driver
墨迹天气,居家生活,https://app.mi.com/details?id=com.moji.mjweather
安心装,居家生活,https://app.mi.com/details?id=com.haoniu.anxinzhuang
皖事通,居家生活,https://app.mi.com/details?id=com.iflytek.oshall.ahzwfw
本地天气,居家生活,https://app.mi.com/details?id=com.justexception.loc_weather
