title,types,regions,release_date,score,actors,actor_count
灿烂人生,"['剧情', '爱情', '家庭']",['意大利'],2003-06-22,9.4,"['路易吉·洛·卡肖', '阿莱西奥·博尼', '索尼娅·贝加马斯科', '玛雅·珊萨', '法布里齐奥·吉福尼', '杰丝敏·特丽卡', '里卡多·斯卡马乔', '安德烈提多娜', '瓦伦蒂娜·卡妮卢提', '卡米拉·菲利皮', '莉迪亚·维塔莱', 'Claudio Gioè', '斯特凡诺·阿伯蒂', '安东内洛·普利西', '阿德里娅娜·阿斯蒂', 'Giuseppe Gandini']",16
横空出世,"['剧情', '历史']",['中国大陆'],1999-12-12,9.4,"['李雪健', '李幼斌', '高明', '陈瑾', '滕汝骏', '张勇手', '刘琳', '陶海', '张国民', '李晓耕', '李胜源', '王星瀚', '王明智']",13
高山下的花环,"['剧情', '战争']",['中国大陆'],1985-11-07,9.4,"['吕晓禾', '唐国强', '何伟', '童超', '盖克', '王玉梅', '刘燕生', '斯琴高娃', '倪大红', '何毅', '石磊', '贾雨岚', '李丹军', '管宗祥', '李振平', '胡宗琪', '洪军', '侯华']",18
切腹,"['剧情', '动作', '悬疑']",['日本'],1962-09-16,9.4,"['仲代达矢', '石浜朗', '岩下志麻', '丹波哲郎', '三岛雅夫', '中谷一郎', '佐藤庆', '稻叶义男', '井川比佐志', '武内亨', '青木义朗', '松村达雄', '小林昭二', '富田仲次郎', '结城一朗', '三国连太郎']",16
遥望南方的童年,['剧情'],['中国大陆'],2007,9.4,[],0
巴黎圣母院,"['剧情', '爱情', '音乐']",['法国'],1998,9.4,"['海伦娜·赛加拉', '加劳', '丹尼尔·拉沃伊', '布鲁诺·佩尔蒂埃', '帕特里克·费欧里', '拉克·默维尔', '朱丽叶·泽纳缇']",7
罗密欧与朱丽叶,"['剧情', '爱情', '歌舞']",['法国'],2002-02-06,9.4,"['达米安·萨格', '希西莉亚·卡拉', '葛里高利·巴奎特', 'Tom Ross']",4
海上钢琴师,"['剧情', '音乐']",['意大利'],2019-11-15,9.3,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里', '皮特·沃恩', '尼尔·奥布赖恩', '阿尔贝托·巴斯克斯', '加布里埃莱·拉维亚', '科里·巴克', '西德尼·科尔', 'Luigi De Luca', '尼古拉·迪·平托', '费米·依鲁福祖', '伊斯顿·盖奇', '凯文·麦克纳利', '布莱恩·普林格', '沙拉·鲁宾', '希思科特·威廉姆斯', '阿妮妲·扎格利亚', '安吉洛·迪洛雷塔', '吉达·布塔', '曲敬国']",23
楚门的世界,"['剧情', '科幻']",['美国'],1998-06-05,9.3,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩', '安东尼·科隆', '马西娅·德波尼斯', 'Adam Tomei', '约翰·普莱舍', '澳澜·琼斯', 'Joe Minjares', '特里·金瑞利', '乔尔·麦金农·米勒', '冈本玉二', 'Jake Eberle', '马克·麦考利', '贾德森·沃恩', '彼得·克劳斯', '保罗·吉亚玛提', '菲利普·贝克·霍尔', '梅丽莎·菲茨杰拉德', 'Blair Slater', '珍妮特·米勒', '霍兰德·泰勒', '布赖恩·戴拉特', '哈里·谢尔']",26
无间道,"['剧情', '犯罪', '惊悚']",['中国香港'],2003-09-05,9.3,"['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文', '陈慧琳', '陈冠希', '余文乐', '林家栋', '萧亚轩', '林迪安', '苏伟南', '姚文基', '利沙华', '何华超', '尹志强', '洪智杰', '李天翔', '张艺', '叶清', '吴廷烨']",21
